Cleaned_Tweet,Suicide
i tell psychiatrist i suicidal immediately me shipped away handcuffed bed i always lie,Potential Suicide post 
fucking hell prada saved day,Not Suicide post
easter eggs,Not Suicide post
rt poemsandthongs kinda bad bitch thats ready die anyday,Potential Suicide post 
i sick tired blamed everything i actually waiting day i die,Potential Suicide post 
rowanberry ohhh sending loads positive vibes way,Not Suicide post
boomboxbindery i say studio setup id die without my flat files designed my whole studio around,Not Suicide post
rt imhorny #hornyfact im fucking tired living im smart im athletic im attractive im talented i haâ,Potential Suicide post 
jordandossett tell me going try puresleep mouth piece tv let know ifhow works,Not Suicide post
relisewrites congratulations accomplishments amazing person inside âï,Not Suicide post
tpgraham thats pretty cool man im fan lossless ftw ill check,Not Suicide post
random thought #im glad i live time gps my cell navi my car bc nothing confused me mâ,Potential Suicide post 
janakidasa beecheypat centralcap levequethots sickening sickening elect ppl like libâ,Potential Suicide post 
collinbeveryone says im better i dont want i dont think doesnt quite matter i think anymore,Potential Suicide post 
landed belfast wee wee,Not Suicide post
greigwells haha flamin distraction,Not Suicide post
toodamnninja uhuhhhh word fail shipwreck sand obviously early,Not Suicide post
plans changed better mtb ride sunshine,Not Suicide post
i want fucking die,Potential Suicide post 
my uni playing potc outside free hotx buns i feel lovvvved,Not Suicide post
mmmbaileys good day jessie ill tell birthday,Not Suicide post
vincecraine glad see youve toned sell still like software,Not Suicide post
âand iâm sick love songs tired tears iâm done wishing still,Potential Suicide post 
malhere hope u good ride weather decent weather like i live,Not Suicide post
second people still want food grown oldfashioned way like i buy heritage meats heirloom seeds,Not Suicide post
effyobie stop speaking sophisticated way please hard me keep,Not Suicide post
sitting sun baking degrees wonderful,Not Suicide post
suitelifeofkell haha me reminds me my daddy monkees old show cant wait lol whattt,Not Suicide post
i cant stop fucking upi amselfish gutless disrespectful spiteful rude self righteous arrogant ignorantim forgetful unfelpful self centeredim stupid clutzy lazy depressed constantly exhausted i havent filled my college applications i didnt even plan living long i want die i stop disgracing my family inconveniencing my mom i kind want ballistician look bullets dead bodies see gun came honestly i likely subject one i dont friends school i like,Potential Suicide post 
offense defense passive violent i cut my wrist my heartbeat silent,Potential Suicide post 
dcu su elections today,Not Suicide post
im tired living whats point me living i keep whining,Potential Suicide post 
i shouldnt want kill myself i many advantages life my immediate family alive still involved my life i several friends i frequently talk i make enough money live easily every night i go home drink hoping i forget much i want end every single moment i sober i spend thinking people might actually see me i really lazy waste space lucked success wheni amdrunk i worry people find thati trying slowly kill myself alcohol fuck i always thought i could successful i would happy well i,Potential Suicide post 
totally craving chocolate starbucksonly days left,Not Suicide post
spiritscribbleri dont think i want twitter anymore im adding anyones life,Potential Suicide post 
rt dccc breaking democrats flipped #ca #redtoblue big congratulations congressmanelect joshuaharder #midtermsâ,Not Suicide post
i sure normal consider suicide normal basis i engineer larger corporation lately i thinking point,Potential Suicide post 
earom voted entry # ellisdabomb # incrediblemight play fifa,Not Suicide post
me i want die dead,Potential Suicide post 
xirthtv girl i fucking one made me kill myself night i done institutionalized,Potential Suicide post 
i got hours sleep last night double shot latte im good,Not Suicide post
turnitgrey oh gosh i didnt think old oh well ill still like hahaha,Not Suicide post
i go make duty tomorrow goodnight,Not Suicide post
ingermaaike aww thank,Not Suicide post
i bipolar disorder i become hyper aware my mood swings get bad enough i barely get bed talk my friends even work manic episodes i dont sleep maybe hours night my mind races i make highly unrealistic goals get hit crippling depression,Potential Suicide post 
rt petunia i nothing live dude shits sad,Potential Suicide post 
cmgangrel typical metro cant even get right,Not Suicide post
awesome photographer,Not Suicide post
excited two sleeps doesnt wear stupid goggles bed anymore,Not Suicide post
i get woooooooooooo,Not Suicide post
i wanna goto concert damn bad would hate myself i spent ticket right,Potential Suicide post 
mwmyn i would say philosophical,Not Suicide post
rt llvvi i correcting anything i live my life calmly i nothing going miserable world,Potential Suicide post 
oh shit could get hand theres dancing my place hoe shindig nada,Not Suicide post
boddingtons see ya anastasia marvellous day,Not Suicide post
need fucking move already tired told fucking rooâ,Potential Suicide post 
beelarge i mine today,Not Suicide post
i sick tired living,Potential Suicide post 
rosskie far shopping today heehee u,Not Suicide post
priyankacharya jpnadda world got right path celebrating matri pitri pujan diwas started #bapuji,Not Suicide post
cya later crew i got bit work,Not Suicide post
mileycyrus youre early late haha,Not Suicide post
gonna go school back around,Not Suicide post
homework day assignments due theyre almost done,Not Suicide post
i suicide rehab center last month i life sadness depression i give would easier dead,Potential Suicide post 
congratulations jim im great editor great media artist,Not Suicide post
washed dressed,Not Suicide post
past week iâll iâve thinking nothing i want disappear i feel trapped liâ,Potential Suicide post 
want me say,Not Suicide post
one damn time i donât watch raw becky smackdown womenâs division attack raw womenâs division bâ,Potential Suicide post 
leaving house gonna switch texts,Not Suicide post
yumm jeremy kyle bacon sandwich,Not Suicide post
im really feeling whole going class productive thing todayhooky,Not Suicide post
rt revolwoc shtbritttsays que screamo voice cut my wrist black my eyes,Potential Suicide post 
rt jeffflake congratulations kyrstensinema race well run itâs wonderful honor representing arizona senatâ,Not Suicide post
loves weather goes bike tour doggy,Not Suicide post
goodnight i really want fucking kill myself,Potential Suicide post 
fuck i fucking hate,Potential Suicide post 
canât believe i lost my damn car keys smh mind damn house key ð nd time my drunk aâ,Potential Suicide post 
muttering i wanna die myself daily months i feel worthless shes my soulmate i cant live horrible world without i lonely i wish i could turn part my brain feels,Potential Suicide post 
skill takes time iq center could run bigs floor force teams go small aâ,Potential Suicide post 
everything good heart expect nothing return never disappointed,Not Suicide post
make sure email me enter months giveaway makeup pink quartz minerals,Not Suicide post
anyway cant accept ive moved sickos go fuck yourself ill keep avoiding sorry asses,Potential Suicide post 
richardsedley im absolutely interested ill shoot my info dm course feel free share reply ill retweet,Not Suicide post
msnbc nbcnews i accepted benefits hostile foreign government conspired michael cohen violateâ,Potential Suicide post 
caitlinh caution addictive,Not Suicide post
rt shenthebird doctor im afraid may never wake coma,Potential Suicide post 
god u herme im tired please kill me i want die,Potential Suicide post 
jethron hahah yeah see i told coffee beans chocolate ice blended way better let me know hows show tonight,Not Suicide post
wt matt elliot third eye foundation playing grv tonight early gig first act curfew anyone fancies,Not Suicide post
i keep fucking matters me i fucking hate myself god damn much like,Potential Suicide post 
chrisgarrett im cant wait details,Not Suicide post
everything okay nothing feels okay i always bit unhappy kid i think although i remember much my childhood i dont want kill myself sometimes thought comes creeping scares me little weeks ago problem came financial problem quite fixable i handle i tied myself noose everything i gonna i alone house my dog really one would able stop me i didnt anything i felt like i could done completely impulse fixable problem leaving behind everything i love my hopeful future i feel creeping me everything fine i cant help feeling i like everything would easier everyone would realize little need me,Potential Suicide post 
wimcoekaerts shouldnt life car pool lane my friend,Not Suicide post
gfrdtagon also i hate making comeback rp bcs i caused many bad things shudnt happened bubâ,Potential Suicide post 
me future therapist damn like sometimes,Potential Suicide post 
erickaaa haha awww i amazing pizza day much my photoshoot i take u heheu gonna answer ur fone night xx,Not Suicide post
jodonahue yes,Not Suicide post
dareanderae i love ððð,Not Suicide post
petemc my mrs always telling me sit enjoy moment instead trying take photos,Not Suicide post
wait i take back i fucking hate living markham i want actually kill myself damn,Potential Suicide post 
modejunkie hes still cutie,Not Suicide post
mikeyway cute,Not Suicide post
lifes short man i couldnt stress enough important live love peace good energy,Not Suicide post
treenz mynameislloyd fritzanator awesome time tonight i knew would check twitter bed ha ha,Not Suicide post
i like sound my new job title inventory manager,Not Suicide post
rt mercurymalek i fucking beg leave me die i deserve,Potential Suicide post 
rt palestinianho patient i hate myself i want die,Potential Suicide post 
unclaimedana worst part i tire easily i love napping fortunately i donât get tired workâ,Potential Suicide post 
chelsea brings me chocolate diet coke im happy,Not Suicide post
i think merely directing comment thought might want know,Not Suicide post
i want,Not Suicide post
sometimes youâll never know bad fucked one day wake nothing,Potential Suicide post 
rt cparham liberals say conservatives evil nothingâs truth believe âlive amp let liveâ libs think bigâ,Potential Suicide post 
youractionlinkutahwant take perfect selfie hereâs looking phone camera,Potential Suicide post 
#freekaavan another year passed i still alone sad suffering i ever live dignity willâ,Potential Suicide post 
i want remind yâall without iris barry allen would dead right sheâs useless rightâ,Potential Suicide post 
redmummy i feel better today got sleep raining take beasts,Not Suicide post
citypublicity revamp shortly theyre amp real trouble im going good amp bag publicy,Not Suicide post
i want businessman,Not Suicide post
effects frozen i i repeat i save my edit i want actually fucking die tookâ,Potential Suicide post 
oh god sweet nicotine tar i crave bad today wrong me lol hahaha xx,Not Suicide post
callumfloyd welcome jungle,Not Suicide post
nfearchicago illife hard i never thought iâd come onto social media venttalk my feelings man my life sucks i dont want attention i know tweet makes look like i iâm done streaming youtube playing games together donât wanna anymore,Potential Suicide post 
i year old transgirl hormones months recently i suffered depressive episode due gender dysphoria couple weeks ago i got job i presenting myself female using female name problem i still look somewhat masculine i get stared constantly dismissed i cannot connect my coworkers i look act strange i know i supposed wait hormones i really scared dont work i get beaten i lose my job due me i want happy hard gotten point i think death hope maybe i get i cant take anymore,Potential Suicide post 
morning everyone,Not Suicide post
rt hanniepower today one year ago i lost neighbour friend #suicide quote got me my worst times fâ,Potential Suicide post 
tsos tails wanted kill heâd dead itachi couldâve killed didnât want toidâ,Potential Suicide post 
rt gorbfanclub congratulations gorb graduating middle school hope strive greatness like cod,Not Suicide post
i google quothow insert microsd blackberry boldquot found though,Not Suicide post
awakehopin my big brother gots time me day lil bit atleast yay katelyn might come hang me,Not Suicide post
rt bobdylan happy birthday legendary neil young turns today,Not Suicide post
rt darklessparkle gameofthrones my name arya stark i want know last thing youâre ever going see stark smiâ,Potential Suicide post 
marijamilovanov oh hell yeah list made passionately oops i ment patiently,Not Suicide post
imwendy lol yeah loud depends dryer get rid static sneaky bout dog lolx,Not Suicide post
somebody fucking kill me please,Potential Suicide post 
fuckenjew shy plus already stole my brain my sleep,Not Suicide post
lincjustice nah youre unfortunate i dont eat stuff cause i want live years longer youre one smart ones,Not Suicide post
mileycyrus yess i im boston college fair school hahaa,Not Suicide post
mikebairos dont tix going attend festivities,Not Suicide post
happy birthdaaaaayyy bebe noveloraineee ðgodbless youuu,Not Suicide post
darkmagique yes i sure sooo happy checked time onish jaaaaaah lolm,Not Suicide post
downloaded pollock app i quite like drew flower lolz,Not Suicide post
i literally hate myself reading damn book,Potential Suicide post 
fortnitegame better adding bouncers back way yâall dumb enough add big game change thenâ,Potential Suicide post 
rt vrachal i swear move forward get ahead life,Not Suicide post
intelligensia following four day week,Not Suicide post
josephsadowitz trs forensicpathmd drjudymelinek nra i donât want guns seriously iâm sure doesâ,Potential Suicide post 
sallyinnorfolk awww youll use twitter company,Not Suicide post
espiral coming back sunday monday,Not Suicide post
i realized month i celebrate my birthday watching wolverine movie wwe raw nice timing,Not Suicide post
process making doll looking heaps better cuter,Not Suicide post
laurenbullokmanchester englandrt jaemverse i dont want anymore,Potential Suicide post 
i cant wait get damn nose job i take new selfies cause i hate every single picture myself includâ,Potential Suicide post 
kaykay videoscommentampsuscribe amp follow me cheers x,Not Suicide post
thirdsectorlab greetings,Not Suicide post
anno son one my friends,Not Suicide post
fampk weather im paris lets go beautiful day,Not Suicide post
iâm disgusting disappointment iâve gotten visibly fatter my cheeks puffy my stomach actually deâ,Potential Suicide post 
rt richsoleek iâm happy i ainât person i last year,Not Suicide post
almost broke class negative thoughts kicking im mf tired living hahahahahahahah,Potential Suicide post 
i keep repeating myself kill yourself kill yourself already i ready listen my inner thoughts i attempted past last moment either i live hellblaze pain becoming even bigger failure my body stops me my mind screams sometimes my body stops me sometimes my body give life i lay wanting shed tear yet i know one care i lay quietly darkness days end i try drown voices i left music recently i dont care listen i stuck me my life i ready listen voices i ready listen my inner shouts i easier access guns my life would much harder i dont instead i go either painfull way i hope others continue carry sadly i think i lost mine,Potential Suicide post 
paulhuse ouch,Not Suicide post
gonna go cut chickeeeen,Not Suicide post
tarik i didnt want think,Not Suicide post
janerodriguezzcotulla tx lacoste txrt jaemverse i dont want anymore,Potential Suicide post 
foodphilosophy magic rejuvenationhmm im thinking triple oxygen mask blissage hang,Not Suicide post
fuckin kill me,Potential Suicide post 
bhavika looks like u found beer,Not Suicide post
i want friend group friends dont leave me,Potential Suicide post 
jylmomif lol today woman handle kids inspires me #inspire,Not Suicide post
#smallbizz #entrepreneur #entrepreneurlifestyle,Potential Suicide post 
rt milatorres i never throw shade hate i quiet bitches still want me dead thatâs pure hate iâ,Potential Suicide post 
rt sal wyattearpla iâm actually tired itâs like living home troubled deceitful child always wins itâs notâ,Potential Suicide post 
good morning sun shining i going beach bffs see later i tan,Not Suicide post
rt palestinianho patient i hate myself i want die,Potential Suicide post 
god want us happy wants us good,Not Suicide post
photo eatsleepdraw weirdãââ i like,Not Suicide post
yo i seriously need stop damn clingy peoplelike im bloody annoying i hate myself,Potential Suicide post 
tonytay hi thanks follow finish fob trail,Not Suicide post
i donât want come my account literally thing keeping me miserable existence thatâ,Potential Suicide post 
rt juicymarilee i loving caring person,Not Suicide post
nomadicmatt id like linked site,Not Suicide post
nminers wherever day takes us route youlgreave mo sun waking,Not Suicide post
my sleep disturbed i looking end career today,Not Suicide post
joshuawhite well spend enough time may well subsidize habit,Not Suicide post
,Not Suicide post
tired living day day like everythingâs alright,Potential Suicide post 
i want protect,Not Suicide post
visit lovely zone head today nice,Not Suicide post
tired concert ate noodles instead weâd eaten emily saw photos restaurant hasâ,Potential Suicide post 
rt hanamichels i found suicide note im fine i wrote april seems like my dates wrong year nbc commentators keepâ,Potential Suicide post 
mrszee go,Not Suicide post
fast amp furious new model original parts really good film,Not Suicide post
ecstatic walmart carries sambazon,Not Suicide post
i assigned sit next awesome student my class hahaha,Not Suicide post
rt authorsweek congratulations seye seyeoke latest author week authorsweek keep creating keep writing andâ,Not Suicide post
#success consists going failure failure without loss enthusiasm winston churchill #quote #persistence,Not Suicide post
joyreaper wolfenspride breitbartnews doubt obamaâ fostered hate division chaos anarchy thâ,Potential Suicide post 
successorlukei donât wanna anymore my parents pressure me much getting job like i soliciting yet complain i dont feel comfortable living my house anymore i want leave good go another country,Potential Suicide post 
kingxheshjust fucking kill me already i dont want anymore,Potential Suicide post 
said job time shit cant wait see next time i go maccas run,Potential Suicide post 
thinking hamsty bank account thats good idea save,Not Suicide post
saulashby i really like photo nice interview,Not Suicide post
i dead wait see my last words my death whoever interestedi sorry youre better without me youll learn live without me wont difficult i shall die,Potential Suicide post 
i know want hear my examinations,Not Suicide post
feeling numb hate my job i hate waking everyday i feel nothing feel like i autopilot i got dumped months ago almost year relationship nothing cheers me anymore my parents another state i go see whenever i want i know i could actually end myself i dream ways like car hitting me killing me instantly i sometimes think taking bunch pills letting,Potential Suicide post 
got quotthingquot doctor chics,Not Suicide post
caringcorbynim okay lol i literally cant explain everything much happened i dont wanna anymore wtf even point i literally cant i want everything i cant breathe right much im crying i cant anymore,Potential Suicide post 
jessedonoe i mean my life miserable i guess light end tunnel,Potential Suicide post 
yahoops thanks david,Not Suicide post
didnt want go man,Not Suicide post
cut my wrist black my eeeeeyes,Potential Suicide post 
happieee birthday anni #aarthisivakarthikeyan ðð,Not Suicide post
hate fact iâm damn near forced figure everything myself must done,Potential Suicide post 
mmm oj scrambled eggs w cheese toast gilmoregirls ahhh day amazing i could get dryer work,Not Suicide post
gypsytrading,Not Suicide post
imbyteme im fair tax bushs deficit back something,Not Suicide post
kellyng mainstream medias reporting amp increasing occurrence fail whale know eventually friends catch,Not Suicide post
seeing eno thursday brian eno amp j peter schwalm ãââ like pictures pt ntnet,Not Suicide post
im fuckin buy shirt please,Not Suicide post
mega monster munch,Not Suicide post
i imagine much howard would want know,Not Suicide post
god damn vending machines depressing standing waiting sad little snack like pavlovian bitch happy tuesday,Not Suicide post
i dont want anymore,Potential Suicide post 
noticed something interesting emoticon vs totally different emotions difference placement eyes,Not Suicide post
may live every day life jonathan swift,Not Suicide post
derekmusiallandonb kidsseeghoats ok hold numbers correct anymore video two weeks old strength schedule record dont change much two weeks yall dont care top division overranked begin else want,Potential Suicide post 
rt mpparimal remembering legendary former #presidentofindia sh #apjabdulkalam auspicious birthday,Not Suicide post
im tired everything pls i want die,Potential Suicide post 
hortovanyi roads widest smoothest theres great clear views way turn head right,Not Suicide post
scribes cant wear shoes press conference thanks jarnail singh,Not Suicide post
chillin p i mean holidays nothing silence me haha finally my relaxing time book typical me lt,Not Suicide post
watching morning deciding myself today think ill keep searching elusive job,Not Suicide post
rt niallofficial wins weeks congratulations tyrrellhatton machine,Not Suicide post
target i loving line moment my bank balance liking great style made affordable #style #shopping,Not Suicide post
donniewahlberg lucky me im going see show ny i hope bring europe fall ill,Not Suicide post
im tired today i want lay bed full boys hugs sounds good probably look even better,Not Suicide post
i nasty habit comparing myself girls damn i hate myself,Potential Suicide post 
yea iâm tired living myself ð,Potential Suicide post 
schãâânes marketingwort stimulus package,Not Suicide post
philthatremains totally jst started blasting atr dude my mom gonna kill me cares,Not Suicide post
skylertinneygraham txrt lilbluezcluez i dont want anymore,Potential Suicide post 
tim fischer talk love family hisâ,Not Suicide post
i want rn get home take fucking shower die,Potential Suicide post 
kaschua didnt know thought putting stuff cat phobe instead phile glad kittys like dome,Not Suicide post
rt theoceaneopz i deadass hate my damn psn name i wish i named myself powerpuff least one person every games thâ,Potential Suicide post 
hello new follwers,Not Suicide post
oops w i e r,Not Suicide post
man i want sancho succeed badly hes superstar needs believe,Not Suicide post
lararhiannon thats brilliance tim coming,Not Suicide post
thehodge pretty awesome makes me want smart car cup tea,Not Suicide post
rt tigrissafaris indian roller bird considered auspicious india #incredibleindia #tigrissafaris #photooftheday #wildlifephoto,Not Suicide post
margb new zealand looking forward starting already great night,Not Suicide post
make me fucking cry every night dont even know,Potential Suicide post 
late night gaming guys fun times yesterday giddy day lt,Not Suicide post
tonights last time ill sport millajovovichesque hair finally straight tomorrow,Not Suicide post
#cloudforce top trend i surprised i couldnt loved,Not Suicide post
plans coming together nicely i happy indeed today,Not Suicide post
laughing i cant believe flea attacks dougie xx,Not Suicide post
people tweets lotthatãââs cooli guess,Not Suicide post
starrymilkteaa wow i adding thay my list shit listen i want die,Potential Suicide post 
therealrchonestly i dont want anymore,Potential Suicide post 
my unofficial diagnosis bipolar schizoaffective disorder nightmare much trial error sorts therapies my medication cocktail pills day gotten me point i function day day i dont know i feel right i know though i want stop,Potential Suicide post 
i die i want closed casket service my memorial i want play âpop goes weaselâ aâ,Potential Suicide post 
celebrating minor banking triumph thats banking b got one admit wrong,Not Suicide post
maybe i hate myself,Potential Suicide post 
iâm tired living regular life ð,Potential Suicide post 
rt yaanayanaa iâm tired living like thisð,Potential Suicide post 
thefreerpgblog glad enjoyed,Not Suicide post
one im fucking okay stop asking me i stop asking me whats wrong i knew id fucking saâ,Potential Suicide post 
mikedignammusic hey stuffs quite good get itunes,Not Suicide post
want win first need understand game youre playing,Not Suicide post
my bby adorable,Not Suicide post
willconley thanks helping share postrank love,Not Suicide post
interesting note twitter like brandingthe tweet people follow thanks follow alister mark greg,Not Suicide post
#spbpuk weve got snorer pro track really quite interesting,Not Suicide post
cydneyw famous,Not Suicide post
ravogd my weird dreams part my life make me i xxxxxxxxx,Not Suicide post
tired living lonely life,Potential Suicide post 
helicon optin dm invites,Not Suicide post
hei knew even i reached my dream could everything i love i sick could get tirâ,Potential Suicide post 
good morning everyone i hope great start day raises cup coffee,Not Suicide post
lukesmummy good boy looks even cuter thing possible,Not Suicide post
i want kill,Not Suicide post
appreciate grateful every given moment live life love joy #enjoylife #enjoyfriends,Not Suicide post
im fucking tired peoples tweet today omg stop treating romance like revolves around everything wont dâ,Potential Suicide post 
micheal great day back ya,Not Suicide post
rb bad make good show,Not Suicide post
jobs front doesnt look bleak today,Not Suicide post
my work schedule next week makes me want die iâm ready,Potential Suicide post 
jamesrandom ye i still rather imagine my dad american superstar bum keeps me happy,Not Suicide post
rt goghsreddevils boscodumpling coachlanter camronmb gtownfootball congratulations coach lanter winning first career gaâ,Not Suicide post
rt shxxyellowbin oh my heart hurts good i love babe bad ikonshxxbi,Not Suicide post
lilbluezcluezcrawling helli dont want anymore,Potential Suicide post 
sbux exclusively playing rostam beck i loving,Not Suicide post
work resisting urge go home fucking sleep forever tbh,Potential Suicide post 
alexakesson follow hedgefunds,Not Suicide post
julienviet fluider interface better regardless purpose,Not Suicide post
beijingboyce maotai i like maotai spirit much,Not Suicide post
im really kms cause damn test omg i hate myself remembering today,Potential Suicide post 
stbalkcom u know ur joe,Not Suicide post
time mouse mouse pad long long night ahead know love,Not Suicide post
meedee coooeee hows day,Not Suicide post
i dont care frightening i want go ahead,Not Suicide post
shotdown i like picture,Not Suicide post
i rlly cant wait old white ppl fuckijg die im tired gen x amp baby boomers literâ,Potential Suicide post 
home uni today got results back hd yehhh yrs i always thinking wat ifs,Not Suicide post
i move already im tired living old hag,Potential Suicide post 
okay lets real i really still iâm nothing annoying ass useless talentless person canâ,Potential Suicide post 
work two jobs school gotta car my apartment boo lifes going good me right im,Not Suicide post
accidentally whole rib cagewell nearly half,Not Suicide post
oomongoomongthis u person feels like one person doesnt see anymore,Potential Suicide post 
influencers want comedians comedians want dead,Potential Suicide post 
rt welovedara cap joross gamboa greets happy birthday ig live ð,Not Suicide post
showcase quick vip room thursday,Not Suicide post
silverlines keep mind thank tips,Not Suicide post
youreba mcentire amp kelly clarkson,Not Suicide post
rt adrianxpression homophobic parents spew bigotry wondering end dead ass kids keep acting stupid yâallâ,Potential Suicide post 
casual tuesday train bfhe sat next me today mean im going good day,Not Suicide post
djroxc welcome twitter,Not Suicide post
louisepb youve come right place i office interiors company big would like desk,Not Suicide post
i work hard êáµ êáµêáµë êáµêáµ every day my life i work til i ache my bones end ááµ áµáá ááºá áá áµáá áááááááâ,Potential Suicide post 
going toilet cause i take leak hour,Not Suicide post
rt babycarebot okay proud progress even youre exactly want youre getting,Not Suicide post
cut my wrist black my eyes,Potential Suicide post 
rt missmabh im desperate need kidney transplant amp need matching live donor im actually end road need onâ,Potential Suicide post 
rt bijinchihiro ææ ð#blackcove ðð#family #dolphins decimated died stress captured #freedom forever lostdefenseless #â,Potential Suicide post 
millwall v blackburn travel purchased live sky sports selection cant wait go game value,Potential Suicide post 
rt yoonkittys happy birthday my ride die i hope best st birthday ever i love much hope love waâ,Not Suicide post
morning watching last night waiting text my friend,Not Suicide post
gimmethefife one ever driven point suicide especially done nothing cared,Not Suicide post
sooo cool thanks much stuff shipped i soon best,Not Suicide post
me âoh my god i want fuckin die i hate myself im lonelyâ,Potential Suicide post 
oh yeah i forgot colour dress i get ball theme quotlas vegasquot please reply,Not Suicide post
coyte good morning feeling happier today,Not Suicide post
renee would i strive anything perfection come i thought knew me better,Not Suicide post
i fucking get iâm almost done semester i feel like itâs much shit i i feel likâ,Potential Suicide post 
want us believe want american would make sense learn english less years otâ,Potential Suicide post 
leela reply me yourself xd i wouldnt say make many mistakes,Not Suicide post
i basically feel like prisoner my life i feel like i dont strenghth left get go outside regular basis finding anything makes me happy i totaly dead inside fake happy,Potential Suicide post 
tell me youre sorry i dont believe baby like i youre sorry,Not Suicide post
effects frozen i i repeat i save my edit i want actually fucking die tookâ,Potential Suicide post 
dafunk welcome bro,Not Suicide post
tomfelton oh quotantiques roadshowquot strangely addictive kind funny people find junk worthless,Not Suicide post
iwoosh i think ive run jack bauer jokes paul oconnell ones,Not Suicide post
studiomag ooo i remember one picnic top sennen burnt sausages,Not Suicide post
pidgin integrate otrencryption standard component like adium i really appreciate,Not Suicide post
disneyland great got go pick kitties minute,Not Suicide post
xroldx narrated dave smalleymy herothis cannot go wrong,Not Suicide post
thing keeping me alive gone i guess i could well kill myself,Potential Suicide post 
movinthatgearupbadlandssmash manorultimxtecreator i guess,Potential Suicide post 
my idea hell would heaven i mean i really want dead one time,Potential Suicide post 
markukne know dont queen,Not Suicide post
aj really wwe champ anymore i want die,Potential Suicide post 
rt amyadamsnose please somebody come fucking kill me im love,Potential Suicide post 
beelarge ohhhhh um i hope mine comes sooooooooooooooooooon look goog give ere lemme hav look,Not Suicide post
whoever replied i cant see kno i said i said go see aquaman directed james wan dec,Potential Suicide post 
corningfutures yo i live jacksonville lets lunch,Not Suicide post
sophistifunk aye,Not Suicide post
my grandpas wrist bleeding really bad cut accident ð,Potential Suicide post 
jasongaunt yeah lots potential i think theyve working iphone app months mate,Not Suicide post
rt bigdaddyjwwr congratulations #wwe championship win #danielbryan heel turn youâre going need luck forâ,Not Suicide post
hodakotb celebrate my bday klgs anniversary bday shout cant wait watch,Not Suicide post
my school comtuper chat makeing,Not Suicide post
crazy cause i shut myself two ppl i w soo long ð ik i love death i would probâ,Potential Suicide post 
damn i forgot spyro midnight release i literally drove past gamestop i hate myself,Potential Suicide post 
new hip album today mine arrives vinyl next week,Not Suicide post
im sitting burger king my whopper table front me,Not Suicide post
darynkagan good afternoon my part world abu dhabi gmt,Not Suicide post
i deadass hate my damn psn name i wish i named myself powerpuff least one person every gaâ,Potential Suicide post 
lerae didnt get memo i told likely intoxicated my problem youre welcome,Not Suicide post
holyschmoke fingers firmly crossed advice give me shout,Not Suicide post
i donât want go back school rn i donât want drive i donât want stupid project i wâ,Potential Suicide post 
lolithiccnorthen irelandim sorry i really want my life end im sorry i drank week straight i sorry hard say gonna fine my life never fine atall im sorry i dont want anymore,Potential Suicide post 
alancostello thats gh send later since completley missed fridays lyrics,Not Suicide post
thinks found good group help refocus,Not Suicide post
good start today,Not Suicide post
got film giggles i lt colbert,Not Suicide post
marcammann yah hope btw want could dinner thursday,Not Suicide post
#twinelis wine food nice people fun today pm delidelux,Not Suicide post
sonjanorwood i see fast learner lol went messages pages full one night go head ms sonya,Not Suicide post
styling hunting today brick lane west end later today i need get canon mm f lens jacobs,Not Suicide post
giftuseeme thas goodi think i might go fun,Not Suicide post
i tried good buy food i dead ass want chipotleâs chicken rice rn,Potential Suicide post 
acummings watching my figured maple frosted today delicious dd coffee,Not Suicide post
i stan chart card i want way me access money i earned,Not Suicide post
generic shit whats fucking point life literally incapable achieving happiness like fuck dude i drunk i feel even shittier sober i give myself one week i still feel like complete fucking shit like i past years thats i done,Potential Suicide post 
nikkiknebs congrats hopefully seeing fall,Not Suicide post
âsigh i hate i hardly get time myself fun anymore me go sleep early waking upâ,Potential Suicide post 
katahay i adore music extremely talented,Not Suicide post
nickmon please im tired everything discordapp my coffee maker popupâ,Potential Suicide post 
paxton fans keep good work young lady really talented,Not Suicide post
damn my fbi agent must hate me i saw soon i asked myself âwhy always tiredâ,Potential Suicide post 
kicking back beer watching things tacky chick flickehwe gotta,Not Suicide post
rapper lãzaro leonado rodriguez betancul best known viva cuba free pupito detainee area ofâ,Not Suicide post
justinhayward pardon little ad iãââm currently testing twitter bit didnãâât want confuse anyone,Not Suicide post
jaygee glad hear im ok thanx,Not Suicide post
i hate myself much,Potential Suicide post 
maraneplaza glad enjoyed first day frend,Not Suicide post
tired,Not Suicide post
good morning apologies my mstate friends i say woohoo tar nation better luck next year boys,Not Suicide post
thepatrck interviewing go today get seal approval,Not Suicide post
redrobinrockn yesbut today daddy im day work,Not Suicide post
bobsaget hey remember me i watched car wouldnt get ticket minskeys youre still fabulous,Not Suicide post
tommcfly like spongebob amp like days mcfly edinburgh next day glasgow next day newcastle yaldy,Not Suicide post
might go see marble today,Not Suicide post
point i dont even mind pain i want life,Potential Suicide post 
arabsodmg videoscommentampsuscribe amp follow me cheers x,Not Suicide post
i want wake watch sunrise sun set go sleep everyday forever,Potential Suicide post 
niinabaniinatexasâï arizona rt caringcorbyn i literally cant explain everything much happened i dont wanna anymore wtf even point i literallyâ,Potential Suicide post 
warcraftdevs u something demo holy fucking shit months without anything done u realiâ,Potential Suicide post 
acummings location updated dakno blog always looking rebc peeps #rebcphl,Not Suicide post
